timestamp,t,action,reward,reward_adjusted,new_Q_value,alpha,epsilon
2025-06-02 16:23:12, 1,0,1.0,1.0,0.5321494623970195,0.49247425010840046,0.9849485002168009
2025-06-02 16:23:14, 2,1,0.8470608965874812,0.8470608965874812,0.4699867843541774,0.48054621874040887,0.9610924374808177
2025-06-02 16:23:16, 3,3,0.20795706193413602,0.20795706193413602,0.18908821213363858,0.4654947189572098,0.9309894379144196
2025-06-02 16:23:18, 4,1,0.7317578444609574,0.7317578444609574,0.16164613202789796,0.4480204688488093,0.8960409376976186
2025-06-02 16:23:20, 5,1,1.0,1.0,0.11379831904255322,0.42856668758921823,0.8571333751784365
2025-06-02 16:23:22, 6,1,0.42461532577992933,0.42461532577992933,-0.14662991177295384,0.40743923658886183,0.8148784731777237
2025-06-02 16:23:24, 7,2,1.0,1.0,0.63438111243164,0.38486198691406326,0.7697239738281265
2025-06-02 16:23:26, 8,0,0.47969827477622423,0.47969827477622423,0.2956497001499589,0.36100592417808014,0.7220118483561603
2025-06-02 16:23:28, 9,2,0.7497597740142745,0.7497597740142745,0.4706510048816169,0.3360059241780801,0.6720118483561602
2025-06-02 16:23:30, 10,2,0.6076574061306474,0.6076574061306474,0.37452522838350466,0.3099711070491245,0.619942214098249
2025-06-02 16:23:32, 11,2,1.0,1.0,0.4508412093235645,0.2829915758979339,0.5659831517958678
2025-06-02 16:23:34, 12,1,0.4849648226255865,0.4849648226255865,-0.09476046779924177,0.255142992090263,0.510285984180526
2025-06-02 16:23:36, 13,2,0.589395698996623,0.589395698996623,0.3852170019640815,0.22648979119830703,0.45297958239661407
2025-06-02 16:23:38, 14,1,0.9039864113328961,0.9039864113328961,0.029954680812785017,0.197087509721915,0.39417501944383
2025-06-02 16:23:40, 15,3,0.6234423605838593,0.6234423605838593,0.20050961808889387,0.16698451015551688,0.33396902031103376
2025-06-02 16:23:41, 16,0,0.3950271831714922,0.3950271831714922,0.25933547760362585,0.13622328712106002,0.27244657424212004
2025-06-02 16:23:43, 17,1,0.9568929481123911,0.9568929481123911,0.08876887295932727,0.10484147449347737,0.20968294898695475
2025-06-02 16:23:45, 18,2,0.450535395519657,0.450535395519657,0.3633087364949579,0.07287263446965665,0.1457452689393133
2025-06-02 16:23:47, 19,2,0.6805534366788981,0.6805534366788981,0.3621831149215959,0.04034688457805712,0.08069376915611425
2025-06-02 16:23:49, 20,2,0.8157038034289554,0.8157038034289554,0.3629811350456915,0.007291402209709141,0.014582804419418283
2025-06-02 16:23:51, 21,2,0.3948452056967696,0.3948452056967696,0.3606991594232,0.007291402209709141,0.014582804419418283
2025-06-02 16:23:53, 22,0,0.9561809274599035,0.9561809274599035,0.26191795554087804,0.007291402209709141,0.014582804419418283
2025-06-02 16:23:54, 23,3,0.5653976801481988,0.5653976801481988,0.20067166119523394,0.007291402209709141,0.014582804419418283
2025-06-02 16:23:56, 24,2,0.795623584725467,0.795623584725467,0.3613718658232498,0.007291402209709141,0.014582804419418283
2025-06-02 16:23:58, 25,2,0.8952139873161028,0.8952139873161028,0.3627611612075978,0.007291402209709141,0.014582804419418283
2025-06-02 16:24:00, 26,2,0.4990680352064167,0.4990680352064167,0.36124224379406694,0.007291402209709141,0.014582804419418283
2025-06-02 16:24:02, 27,2,0.6392774436203379,0.6392774436203379,0.3607672458945488,0.007291402209709141,0.014582804419418283
2025-06-02 16:24:04, 28,0,0.43605764143523273,0.43605764143523273,0.26068870389219534,0.007291402209709141,0.014582804419418283
2025-06-02 16:24:06, 29,2,0.6030279800934959,0.6030279800934959,0.3600346922080019,0.007291402209709141,0.014582804419418283
2025-06-02 16:24:08, 30,2,0.8025888666845464,0.8025888666845464,0.36076763283087565,0.007291402209709141,0.014582804419418283
2025-06-02 16:24:09, 31,2,0.49708481206867267,0.49708481206867267,0.3592625993933376,0.007291402209709141,0.014582804419418283
2025-06-02 16:24:11, 32,2,0.5708116182860056,0.5708116182860056,0.35831653667162505,0.007291402209709141,0.014582804419418283
2025-06-02 16:24:13, 33,2,0.49820682497010005,0.49820682497010005,0.35685453454094174,0.007291402209709141,0.014582804419418283
